% function evaluation | noise-free fitness - Fopt (-1,694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3,171559730e+02 +3,171559730e+02 +3,002159730e+02 +3,002159730e+02 +3,9040e+00 -1,5205e+00 -2,7281e+00 -1,5614e+00 -2,7957e+00 -4,1458e+00 -4,7054e+00 +1,4814e-01 -1,0210e+00 +7,1927e-01
2 +7,455768095e+01 +7,455768095e+01 +5,761768095e+01 +5,761768095e+01 +1,1131e+00 -2,3895e+00 -8,3787e-01 -2,4781e+00 +1,5284e+00 +2,3930e+00 -4,7409e-01 +2,2159e-02 +1,0662e+00 -1,5644e+00
6 +2,135976077e+01 +2,135976077e+01 +4,419760774e+00 +4,419760774e+00 +4,5734e+00 +5,1821e+00 +1,0308e+00 +3,3946e+00 +1,6273e+00 -2,4152e+00 -1,8102e+00 +2,0527e+00 +1,0516e+00 +1,1649e+00
9 +1,521101051e+01 +1,521101051e+01 -1,728989489e+00 -1,728989489e+00 +8,0037e-01 +2,6912e+00 -4,2313e+00 +2,8550e+00 -9,3849e-01 +1,6993e+00 +3,9024e+00 -1,2265e+00 -1,9280e+00 -3,5506e+00
220 +6,499940547e+00 +6,499940547e+00 -1,044005945e+01 -1,044005945e+01 +2,3359e+00 -2,8114e-01 +9,4684e-01 +2,3443e+00 +6,1315e-01 -1,8003e+00 +3,9212e+00 -2,4627e+00 -5,6622e-01 -3,5581e+00
1465 +6,228980716e+00 +6,228980716e+00 -1,071101928e+01 -1,071101928e+01 +2,9673e+00 +1,2043e+00 -3,5280e+00 +2,9152e+00 +1,6211e+00 -4,0818e+00 +4,7047e+00 -1,3322e+00 +2,2892e-01 -1,8478e+00
1909 +3,838319564e+00 +3,838319564e+00 -1,310168044e+01 -1,310168044e+01 +3,1821e+00 +2,9620e+00 -4,5203e+00 +2,8992e+00 +2,9908e+00 -1,9751e+00 +5,0326e+00 -5,7266e-01 -1,7545e-01 -2,2023e+00
3538 +2,398944764e+00 +2,398944764e+00 -1,454105524e+01 -1,454105524e+01 +2,5822e+00 +2,8140e+00 -5,5549e-01 +2,1428e+00 +2,2481e+00 -1,9328e+00 +4,4807e+00 -1,7056e+00 +6,7985e-01 -1,5206e+00
5028 +1,367842109e+00 +1,367842109e+00 -1,557215789e+01 -1,557215789e+01 +3,5916e+00 +2,8579e+00 -1,6790e+00 +8,7122e-01 +1,6662e+00 -1,9751e+00 +3,6514e+00 -3,1988e+00 -3,6997e-01 -2,1447e+00
5174 +9,293163887e-01 +9,293163887e-01 -1,601068361e+01 -1,601068361e+01 +3,2211e+00 +2,2399e+00 -7,1539e-01 +1,7216e+00 +2,1899e+00 -1,9619e+00 +4,0849e+00 -3,0439e+00 +4,5915e-01 -1,9130e+00
